OTU_ID,Cd1,Cd2,Cd3,Cd4,Cd5,Cd6,Cd7,Cd8,Cd9,Cd10,Cd11,Cd12,Cd13,Cd14,Cd15,Cd16,Cd17,Cd18,Cd19,Cd20,Cd21,Cd22,Cd23,Cd24,Cd25,Cd26,Cd27,Cd28,Cd29,Cd30
OTU_339,0,0,0,0,0,2,0,0,4,0,1,0,0,2,1,6,1,4,2,0,0,0,0,0,1,8,23,6,3,14
OTU_1592,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU_1818,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,5,13,2,0,0,0,0,0,0,0,0,0,0,3
OTU_1174,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_2529,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
OTU_1786,0,0,0,0,0,1,2,5,1,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,1
OTU_499,0,0,0,0,0,2,5,11,0,6,0,0,0,0,0,12,5,7,4,0,0,0,0,0,0,4,34,4,0,6
OTU_1371,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,5,5,2,0,1,0,0,0,1,1,1,3,2
OTU_1435,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
OTU_1309,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0
OTU_1103,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0
OTU_829,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0
OTU_1374,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,1,4,4,1,1,0,0,0,0,0,4,1,0,0,8
OTU_1331,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,8,0,0,2,0,0,0,0,0,0,0,0
OTU_657,0,0,0,0,0,1,0,0,1,0,2,1,2,1,1,0,1,0,2,2,6,3,3,6,2,5,11,1,1,7
OTU_1692,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,6,0,2,0
OTU_1506,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,2,1,0,0,2,0,0,0,0,0
OTU_1614,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
OTU_1790,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1242,0,0,0,0,0,0,4,1,1,1,0,0,0,0,1,5,3,3,5,0,0,0,0,0,0,3,0,2,3,2
OTU_1903,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,1,0
OTU_875,0,0,0,0,0,0,3,3,0,1,1,0,0,6,0,0,1,3,2,2,0,0,0,0,0,0,0,2,0,0
OTU_515,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,6,3,8,6,0,0,0,0,0,0,9,7,2,0,1
OTU_294,0,0,0,0,0,0,94,6,1,9,0,0,0,0,0,1,2,13,2,0,0,0,0,0,0,2,0,3,7,14
OTU_682,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,5,3,1,10,0,0,0,0,0,0,1,2,9,3,0
OTU_215,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_2018,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_2402,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_2468,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,1,0,0
OTU_1840,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,3,3,0
OTU_639,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0
OTU_1092,0,0,0,0,0,0,1,0,4,1,1,3,0,1,1,2,1,0,0,1,0,1,0,1,0,1,5,4,2,1
OTU_1799,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1375,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
OTU_1135,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,1,0,0,0
OTU_1478,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
OTU_1477,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1452,0,0,0,0,0,0,2,0,2,0,1,3,0,1,2,3,7,2,4,4,3,0,1,0,2,2,0,3,2,0
OTU_1770,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
